user_input,reference_contexts,reference,synthesizer_name
How did Alfred's educational reforms in English impact the outcome of a naval engagement in 896?,"['<1-hop>\n\nAdvocacy of education in English\nAlfred\'s educational ambitions seem to have extended beyond the establishment of a court school. Believing that without Christian wisdom there can be neither prosperity nor success in war, Alfred aimed ""to set to learning (as long as they are not useful for some other employment) all the free-born young men now in England who have the means to apply themselves to it"". Conscious of the decay of Latin literacy in his realm, Alfred proposed that primary education be taught in English, with those wishing to advance to holy orders to continue their studies in Latin.\nThere were few ""books of wisdom"" written in English. Alfred sought to remedy this through an ambitious court-centred programme of translating into English the books he deemed ""most necessary for all men to know"". It is unknown when Alfred launched this programme, but it may have been during the 880s when Wessex was enjoying a respite from Viking attacks. Alfred was, until recently, often considered to have been the author of many of the translations, but this is now considered doubtful in almost all cases. Scholars more often refer to translations as ""Alfredian"", indicating that they probably had something to do with his patronage, but are unlikely to be his own work.', ""<2-hop>\n\nIn the one recorded naval engagement in 896, Alfred's new fleet of nine ships intercepted six Viking ships at the mouth of an unidentified river in the south of England. The Danes had beached half their ships and gone inland. Alfred's ships immediately moved to block their escape. The three Viking ships afloat attempted to break through the English lines. Only one made it; Alfred's ships intercepted the other two. Lashing the Viking boats to their own, the English crew boarded and proceeded to kill the Vikings. One ship escaped because Alfred's heavy ships became grounded when the tide went out. A land battle ensued between the crews. The Danes were heavily outnumbered, but as the tide rose, they returned to their boats which, with shallower drafts, were freed first. The English watched as the Vikings rowed past them but they suffered so many casualties (120 dead against 62 Frisians and English) that they had difficulty putting out to sea. All were too damaged to row around Sussex, and two were driven against the Sussex coast (possibly at Selsey Bill). The shipwrecked crew were brought before Alfred at Winchester and hanged.""]","Alfred's educational reforms in English, which aimed to promote Christian wisdom for both prosperity and success in war, likely contributed to his military successes. In the one recorded naval engagement in 896, Alfred's new fleet of nine ships intercepted six Viking ships at the mouth of an unidentified river. The Danes had beached half their ships and gone inland, but Alfred's ships blocked their escape. Despite being outnumbered, the Danes managed to free two of their ships while one escaped due to English ships becoming grounded when the tide went out. A land battle ensued, resulting in heavy casualties for both sides, with the Danes eventually escaping back to sea despite their damaged vessels.",multi_hop_abstract_query_synthesizer
"What were the outcomes of the double invasion launched by King and Norman rebels against Duke William of Normandy, and how did these events affect his control over the duchy?","[""<1-hop>\n\nWilliam's preparations\nWilliam of Poitiers describes a council called by Duke William, in which the writer gives an account of a debate between William's nobles and supporters over whether to risk an invasion of England. Although some sort of formal assembly probably was held, it is unlikely that any debate took place: the duke had by then established control over his nobles, and most of those assembled would have been anxious to secure their share of the rewards from the conquest of England. William of Poitiers also relates that the duke obtained the consent of Pope Alexander II for the invasion, along with a papal banner. The chronicler also claimed that the duke secured the support of Henry IV, Holy Roman Emperor, and King Sweyn II of Denmark. Henry was still a minor, however, and Sweyn was more likely to support Harold, who could then help Sweyn against the Norwegian king, so these claims should be treated with caution. Although Alexander gave papal approval to the conquest after it succeeded, no other source claims papal support prior to the invasion. Events after the invasion, which included the penance William performed and statements by later popes, lend circumstantial support to the claim of papal approval. To deal with Norman affairs, William put the government of Normandy into the hands of his wife for the duration of the invasion."", ""<2-hop>\n\nIn February 1054 the king and the Norman rebels launched a double invasion of the duchy. Henry led the main thrust through the county of Évreux, while the other wing, under the king's half-brother Odo, invaded eastern Normandy. William met the invasion by dividing his forces into two. The first, which he led, faced Henry. The second, which included some who became William's firm supporters, such as Robert, Count of Eu, Walter Giffard, Roger of Mortemer, and William de Warenne, faced the other invading force. This second force defeated the invaders at the Battle of Mortemer. In addition to ending both invasions, the battle allowed the duke's ecclesiastical supporters to depose Archbishop Mauger. Mortemer thus marked another turning point in William's growing control of the duchy, although his conflict with the French king and the Count of Anjou continued until 1060. Henry and Geoffrey led another invasion of Normandy in 1057 but were defeated by William at the Battle of Varaville. This was the last invasion of Normandy during William's lifetime. In 1058, William invaded the County of Dreux and took Tillières-sur-Avre and Thimert. Henry attempted to dislodge William, but the siege of Thimert dragged on for two years until Henry's death. The deaths of Count Geoffrey and the king in 1060 cemented the shift in the balance of power towards William.""]","The double invasion launched by King and Norman rebels against Duke William of Normandy was met with two separate battles. The first battle, at Mortemer, saw the second force under William's command defeat the invaders, allowing ecclesiastical supporters to depose Archbishop Mauger. This marked a turning point in William's control over the duchy. The second invasion by Henry and Geoffrey was defeated by William at the Battle of Varaville. Additionally, in 1058, William invaded the County of Dreux and took Tillières-sur-Avre and Thimert. These events contributed to cementing the shift in power towards William until the deaths of Count Geoffrey and the king in 1060.",multi_hop_abstract_query_synthesizer
WHY DID WILLIAM ORDER THE DOMESDAY BOOK AND WHAT WAS ITS PURPOSE DURING VIKING ATTACKS?,"[""<1-hop>\n\nViking attacks (890s)\nAfter another lull, in the autumn of 892 or 893, the Danes attacked again. Finding their position in mainland Europe precarious, they crossed to England in 330 ships in two divisions. They entrenched themselves, the larger body at Appledore, Kent, and the lesser under Hastein, at Milton, also in Kent. The invaders brought their wives and children with them, indicating a meaningful attempt at conquest and colonisation. Alfred, in 893 or 894, took up a position from which he could observe both forces.\nWhile he was in talks with Hastein, the Danes at Appledore broke out and struck north-westwards. They were overtaken by Alfred's eldest son Edward, and were defeated at the Battle of Farnham in Surrey. They took refuge on an island at Thorney, on the River Colne between Buckinghamshire and Middlesex, where they were blockaded and forced to give hostages and promise to leave Wessex. They then went to Essex and after suffering another defeat at Benfleet, joined with Hastein's force at Shoebury.\nAlfred had been on his way to relieve his son at Thorney when he heard that the Northumbrian and East Anglian Danes were besieging Exeter and an unnamed stronghold on the North Devon shore. Alfred at once hurried westward and raised the Siege of Exeter. The fate of the other place is not recorded."", ""<2-hop>\n\nIn the 1050s and early 1060s, William became a contender for the throne of England held by the childless Edward the Confessor, his first cousin once removed. There were other potential claimants, including the powerful English earl Harold Godwinson, whom Edward named as king on his deathbed in January 1066. Arguing that Edward had previously promised the throne to him and that Harold had sworn to support his claim, William built a large fleet and invaded England in September 1066. He decisively defeated and killed Harold at the Battle of Hastings on 14 October 1066. After further military efforts, William was crowned king on Christmas Day, 1066, in London. He made arrangements for the governance of England in early 1067 before returning to Normandy. Several unsuccessful rebellions followed, but William's hold on England was mostly secure by 1075, allowing him to spend the greater part of his reign in continental Europe.\nWilliam's final years were marked by difficulties in his continental domains, troubles with his son, Robert, and threatened invasions of England by the Danes. In 1086, he ordered the compilation of the Domesday Book, a survey listing all of the land-holdings in England along with their pre-Conquest and current holders. He died in September 1087 while leading a campaign in northern France, and was buried in Caen. His reign in England was marked by the construction of castles, settling a new Norman nobility on the land, and change in the composition of the English clergy. He did not try to integrate his domains into one empire but continued to administer each part separately. His lands were divided after his death: Normandy went to Robert, and England went to his second surviving son, William Rufus.""]","William ordered the compilation of the Domesday Book in 1086, a survey listing all of the land-holdings in England along with their pre-Conquest and current holders. This was likely done to assess resources for potential invasions by the Danes during Viking attacks on England.",multi_hop_abstract_query_synthesizer
What actions did William take in Normandy before assembling his invasion fleet and when were these actions related to between 1082 and 1084?,"[""<1-hop>\n\nLast years\nSources for William's actions between 1082 and 1084 are meagre. According to the historian David Bates, this probably means that little of note happened, and that because William was on the continent, there was nothing for the Anglo-Saxon Chronicle to record. In 1082, William ordered the arrest of his half-brother Odo. The exact reasons are unclear, as no contemporary author recorded what caused the quarrel between the half-brothers. Orderic Vitalis later recorded that Odo had aspirations to become pope and that Odo had attempted to persuade some of William's vassals to join Odo in an invasion of southern Italy. This would have been considered tampering with the king's authority over his vassals, which William would not have tolerated. Although Odo remained in confinement for the rest of William's reign, his lands were not confiscated. In 1083, William's son Robert rebelled once more with support from the French king. A further blow was the death of Queen Matilda on 2 November 1083. William was always described as close to his wife, and her death would have added to his problems.\nMaine continued to be difficult, with a rebellion by Hubert de Beaumont-au-Maine, probably in 1084. Hubert was besieged in his castle at Sainte-Suzanne by William's forces for at least two years, but he eventually made peace with the king and was restored to favour. William's movements during 1084 and 1085 are unclear\xa0– he was in Normandy at Easter 1084 but may have been in England before then to collect the danegeld assessed that year for the defence of England against an invasion by King Cnut IV of Denmark. Although English and Norman forces remained on alert throughout 1085 and into 1086, the invasion threat was ended by Cnut's death in July 1086."", ""<2-hop>\n\nThroughout the summer, William assembled an army and an invasion fleet in Normandy. Although William of Jumièges's claim that the ducal fleet numbered 3,000 ships is clearly an exaggeration, it was probably large and mostly built from scratch. Although William of Poitiers and William of Jumièges disagree about where the fleet was built\xa0– Poitiers states it was constructed at the mouth of the River Dives, while Jumièges states it was built at Saint-Valery-sur-Somme\xa0– both agree that it eventually sailed from Valery-sur-Somme. The fleet carried an invasion force that included, in addition to troops from William's territories of Normandy and Maine, large numbers of mercenaries, allies, and volunteers from Brittany, northeastern France, and Flanders, together with smaller numbers from other parts of Europe. Although the army and fleet were ready by early August, adverse winds kept the ships in Normandy until late September. There were probably other reasons for William's delay, including intelligence reports from England revealing that Harold's forces were deployed along the coast. William would have preferred to delay the invasion until he could make an unopposed landing. Harold kept his forces on alert throughout the summer, but with the arrival of the harvest season he disbanded his army on 8 September.""]","Between 1082 and 1084, William took several actions in Normandy. In 1082, he ordered the arrest of his half-brother Odo for unclear reasons, which were not recorded by contemporary authors but later mentioned by Orderic Vitalis. In 1083, his son Robert rebelled with support from the French king, and Queen Matilda died on November 2, 1083. Additionally, there was a rebellion by Hubert de Beaumont-au-Maine in 1084, who was besieged for at least two years before making peace with William.",multi_hop_abstract_query_synthesizer
"How did Alfred's burghal system, which was influenced by the Viking invasion, contribute to the defense against Viking attacks during William's reign?","['<1-hop>\n\nWilliam\'s reign has caused historical controversy since before his death. William of Poitiers wrote glowingly of William\'s reign and its benefits, but the obituary notice for William in the Anglo-Saxon Chronicle condemns William in harsh terms. During the reign of Queen Elizabeth I, Archbishop Matthew Parker saw the Conquest as having corrupted a purer English Church, which Parker attempted to restore. During the 17th and 18th centuries, some historians and lawyers saw William\'s reign as imposing a ""Norman yoke"" on the native Anglo-Saxons, an argument that continued during the 19th century with further elaborations along nationalistic lines. These controversies have led to William being seen by some historians either as one of the creators of England\'s greatness or as inflicting one of the greatest defeats in English history. Others have viewed him as an enemy of the English constitution, or alternatively as its creator.', '<2-hop>\n\nThe burhs were connected by a road system maintained for army use (known as herepaths). The roads allowed an army quickly to be assembled, sometimes from more than one burh, to confront the Viking invader. The road network posed significant obstacles to Viking invaders, especially those laden with booty. The system threatened Viking routes and communications making it far more dangerous for them. The Vikings lacked the equipment for a siege against a burh and a developed doctrine of siegecraft, having tailored their methods of fighting to rapid strikes and unimpeded retreats to well-defended fortifications. The only means left to them was to starve the burh into submission but this gave the king time to send his field army or garrisons from neighbouring burhs along the army roads. In such cases, the Vikings were extremely vulnerable to pursuit by the king\'s joint military forces. Alfred\'s burh system posed such a formidable challenge against Viking attack that when the Vikings returned in 892 and stormed a half-built, poorly garrisoned fortress up the Lympne estuary in Kent, the Anglo-Saxons were able to limit their penetration to the outer frontiers of Wessex and Mercia. Alfred\'s burghal system was revolutionary in its strategic conception and potentially expensive in its execution. His contemporary biographer Asser wrote that many nobles balked at the demands placed upon them even though they were for ""the common needs of the kingdom"".']","Alfred's burghal system, which was influenced by the Viking invasion, contributed to the defense against Viking attacks during William's reign by posing a formidable challenge. The burhs were connected by a road system maintained for army use (known as herepaths), allowing an army quickly to be assembled from more than one burh to confront the Viking invader. This road network posed significant obstacles to Viking invaders, especially those laden with booty. The Vikings lacked the equipment for a siege against a burh and a developed doctrine of siegecraft, making it far more dangerous for them. When the Vikings returned in 892 and stormed a half-built, poorly garrisoned fortress up the Lympne estuary in Kent, the Anglo-Saxons were able to limit their penetration to the outer frontiers of Wessex and Mercia.",multi_hop_abstract_query_synthesizer
"How did King Alfred the Great's efforts in vernacular translations contribute to the revival of learning during his reign, and what is an example of such a translation found on one of the statues dedicated to him?","[""<1-hop>\n\nStatues\nPewsey\nA prominent statue of King Alfred the Great stands in the middle of Pewsey, where he was a landowner. It was unveiled in June 1913 to commemorate the coronation of King George V.\nSouthwark\nA statue of Alfred the Great located in Trinity Church Square, Southwark is considered to be the oldest outdoor statue in London, and part of it has been found to date to Roman times. The sculpture was thought to be medieval until 2021 conservation work. The lower half was then discovered to be Bath Stone and part of a colossal ancient sculpture dedicated to the goddess Minerva. It is typical of the 2nd Century, dating to around the reign of Hadrian. The lower older half is likely to have been carved by a continental craftsman used to working with British stone. The upper half dates to the late 18th or early 19th century, cast from artificial Coade stone to fit the lower portion.\nWantage\nA statue of Alfred the Great, situated in the Wantage market place, was sculpted by Count Gleichen, a relative of Queen Victoria, and unveiled on 14 July 1877 by the Prince and Princess of Wales. The statue was vandalised on New Year's Eve 2007, losing part of its right arm and axe. After the arm and axe were replaced, the statue was again vandalised on Christmas Eve 2008, losing its axe.\nWinchester\nA bronze statue of Alfred the Great stands at the eastern end of The Broadway, close to the site of Winchester's medieval East Gate. The statue was designed by Hamo Thornycroft, cast in bronze by Singer & Sons of Frome and erected in 1899 to mark one thousand years since Alfred's death. The statue is placed on a pedestal consisting of two immense blocks of grey Cornish granite.\nAlfred University, New York"", '<2-hop>\n\nThis revival entailed the recruitment of clerical scholars from Mercia, Wales and abroad to enhance the tenor of the court and of the episcopacy; the establishment of a court school to educate his own children, the sons of his nobles, and intellectually promising boys of lesser birth; an attempt to require literacy in those who held offices of authority; a series of translations into the vernacular of Latin works the king deemed ""most necessary for all men to know""; the compilation of a chronicle detailing the rise of Alfred\'s kingdom and house, with a genealogy that stretched back to Adam, thus giving the West Saxon kings a biblical ancestry.\nVery little is known of the church under Alfred. The Danish attacks had been particularly damaging to the monasteries. Although Alfred founded monasteries at Athelney and Shaftesbury, these were the first new monastic houses in Wessex since the beginning of the eighth century. According to Asser, Alfred enticed foreign monks to England for his monastery at Athelney because there was little interest for the locals to take up the monastic life.\nAlfred undertook no systematic reform of ecclesiastical institutions or religious practices in Wessex. For him, the key to the kingdom\'s spiritual revival was to appoint pious, learned, and trustworthy bishops and abbots. As king, he saw himself as responsible for both the temporal and spiritual welfare of his subjects. Secular and spiritual authority were not distinct categories for Alfred.']","King Alfred the Great’s efforts in vernacular translations contributed to the revival of learning by translating important Latin works into English. An example of this can be seen on the statue of Alfred the Great situated in Wantage, which was sculpted by Count Gleichen and unveiled on 14 July 1877. The revival entailed the recruitment of clerical scholars from Mercia, Wales, and abroad to enhance the tenor of the court and episcopacy; the establishment of a court school to educate his own children, the sons of his nobles, and intellectually promising boys of lesser birth; an attempt to require literacy in those who held offices of authority; and a series of translations into the vernacular of Latin works deemed 'most necessary for all men to know' by Alfred.",multi_hop_abstract_query_synthesizer
How did the support for exiled English princes attempting to return to England in 1036 impact the challenges faced by Duke William during his minority as the duke of Normandy?,"[""<1-hop>\n\nBoadicea and Her Daughters, a statue of the queen in her war chariot, complete with anachronistic scythes on the wheel axles, was executed by the sculptor Thomas Thornycroft. He was encouraged by Prince Albert, who lent his horses for use as models. The statue, Thornycroft's most ambitious work, was produced  between 1856 and 1871, cast in 1896, and positioned on the Victoria Embankment next to Westminster Bridge in 1902."", ""<2-hop>\n\nDuke of Normandy\nChallenges\nWilliam faced several challenges on becoming duke, including his illegitimate birth and his youth: he was either seven or eight years old. He enjoyed the support of his great-uncle, Archbishop Robert, as well as King Henry I of France, enabling him to succeed to his father's duchy. The support given to the exiled English princes in their attempt to return to England in 1036 shows that the new duke's guardians were attempting to continue his father's policies, but Archbishop Robert's death in March 1037 removed one of William's main supporters, and Normandy quickly descended into chaos.\nThe anarchy in the duchy lasted until 1047, and control of the young duke was one of the priorities of those contending for power. At first, Alan of Brittany had custody of the duke, but when Alan died in either late 1039 or October 1040, Gilbert of Brionne took charge of William. Gilbert was killed within months, and another guardian, Turchetil, was also killed around the time of Gilbert's death. Yet another guardian, Osbern, was slain in the early 1040s in William's chamber while the duke slept. It was said that Walter, William's maternal uncle, was occasionally forced to hide the young duke in the houses of peasants, although this story may be an embellishment by Orderic Vitalis. The historian Eleanor Searle speculates that William was raised with the three cousins who later became important in his career\xa0– William fitzOsbern, Roger de Beaumont, and Roger of Montgomery. Although many of the Norman nobles engaged in their own private wars and feuds during William's minority, the viscounts still acknowledged the ducal government, and the ecclesiastical hierarchy was supportive of William.""]","The support given to the exiled English princes in their attempt to return to England in 1036 showed that the new duke's guardians were attempting to continue his father's policies, but Archbishop Robert's death in March 1037 removed one of William's main supporters, and Normandy quickly descended into chaos. This anarchy lasted until 1047, during which control of the young duke was a priority for those contending for power.",multi_hop_abstract_query_synthesizer
How did Alfred's resistance at Athelney impact the broader context of the Danish invasions in early medieval England?,"['<1-hop>\n\nThis revival entailed the recruitment of clerical scholars from Mercia, Wales and abroad to enhance the tenor of the court and of the episcopacy; the establishment of a court school to educate his own children, the sons of his nobles, and intellectually promising boys of lesser birth; an attempt to require literacy in those who held offices of authority; a series of translations into the vernacular of Latin works the king deemed ""most necessary for all men to know""; the compilation of a chronicle detailing the rise of Alfred\'s kingdom and house, with a genealogy that stretched back to Adam, thus giving the West Saxon kings a biblical ancestry.\nVery little is known of the church under Alfred. The Danish attacks had been particularly damaging to the monasteries. Although Alfred founded monasteries at Athelney and Shaftesbury, these were the first new monastic houses in Wessex since the beginning of the eighth century. According to Asser, Alfred enticed foreign monks to England for his monastery at Athelney because there was little interest for the locals to take up the monastic life.\nAlfred undertook no systematic reform of ecclesiastical institutions or religious practices in Wessex. For him, the key to the kingdom\'s spiritual revival was to appoint pious, learned, and trustworthy bishops and abbots. As king, he saw himself as responsible for both the temporal and spiritual welfare of his subjects. Secular and spiritual authority were not distinct categories for Alfred.', '<2-hop>\n\nIn 876, under Guthrum, Oscetel and Anwend, the Danes slipped past the Saxon army and attacked and occupied Wareham in Dorset. Alfred blockaded them but was unable to take Wareham by assault. He negotiated a peace that involved an exchange of hostages and oaths, which the Danes swore on a ""holy ring"" associated with the worship of Thor. The Danes broke their word, and after killing all the hostages, slipped away under cover of night to Exeter in Devon.\nAlfred blockaded the Viking ships in Devon, and with a relief fleet having been scattered by a storm, the Danes were forced to submit. The Danes withdrew to Mercia. In January 878, the Danes made a sudden attack on Chippenham, a royal stronghold in which Alfred had been staying over Christmas ""and most of the people they killed, except the King Alfred, and he with a little band made his way by wood and swamp, and after Easter he made a fort at Athelney in the marshes of Somerset, and from that fort kept fighting against the foe"". Considering the fate of the Mercians\' kingdom under similar Viking pressure and an analysis of charter signatories either side of the raid it has been suggested that Alfred may have fallen prey to a Witan coup at Chippenham rather than simply being surprised by a Viking attack. From his fort at Athelney, an island in the marshes near North Petherton, Alfred was able to mount a resistance campaign, rallying the local militias from Somerset, Wiltshire and Hampshire. 878 was the nadir of the history of the Anglo-Saxon kingdoms. With all the other kingdoms having fallen to the Vikings, Wessex alone was resisting.']","Alfred's resistance at Athelney allowed him to mount a resistance campaign, rallying local militias from Somerset, Wiltshire and Hampshire. This was significant because it provided a base for continued opposition against the Danes when all other Anglo-Saxon kingdoms had fallen to Viking invasions.",multi_hop_specific_query_synthesizer
What happened to Alfred's fleet in Kent after their initial victory over the Danish vessels?,"['<1-hop>\n\nNot long after the failed Danish raid in Kent, Alfred dispatched his fleet to East Anglia. The purpose of this expedition is debated, but Asser claims that it was for the sake of plunder. After travelling up the River Stour, the fleet was met by Danish vessels that numbered 13 or 16 (sources vary on the number), and a battle ensued. The Anglo-Saxon fleet emerged victorious, and as Henry of Huntingdon writes, ""laden with spoils"". The victorious fleet was surprised when attempting to leave the River Stour and was attacked by a Danish force at the mouth of the river. The Danish fleet defeated Alfred\'s fleet, which may have been weakened in the previous engagement.', '<2-hop>\n\nIn 825, Ecgberht sent Æthelwulf to invade the Mercian sub-kingdom of Kent, and its sub-king, Baldred, was driven out shortly afterwards. By 830, Essex, Surrey and Sussex had submitted to Ecgberht, and he had appointed Æthelwulf to rule the south-eastern territories as king of Kent. The Vikings ravaged the Isle of Sheppey in 835, and the following year they defeated Ecgberht at Carhampton in Somerset, but in 838 he was victorious over an alliance of Cornishmen and Vikings at the Battle of Hingston Down, reducing Cornwall to the status of a client kingdom. When Æthelwulf succeeded to the throne, he appointed his eldest son Æthelstan as sub-king of Kent. Ecgberht and Æthelwulf may not have intended a permanent union between Wessex and Kent because they both appointed sons as sub-kings, and charters in Wessex were attested (witnessed) by West Saxon magnates, while Kentish charters were witnessed by the Kentish elite; both kings kept overall control, and the sub-kings were not allowed to issue their own coinage.\nViking raids increased in the early 840s on both sides of the English Channel, and in 843 Æthelwulf was defeated at Carhampton. In 850, Æthelstan defeated a Danish fleet off Sandwich in the first recorded naval battle in English history. In 851, Æthelwulf and his second son, Æthelbald, defeated the Vikings at the Battle of Aclea and, according to the Anglo-Saxon Chronicle, ""there made the greatest slaughter of a heathen raiding-army that we have heard tell of up to this present day, and there took the victory"". Æthelwulf died in 858 and was succeeded by his oldest surviving son, Æthelbald, as king of Wessex and by his next oldest son, Æthelberht, as king of Kent. Æthelbald only survived his father by two years, and Æthelberht then for the first time united Wessex and Kent into a single kingdom.']","After their initial victory over the Danish vessels, Alfred's fleet was surprised when attempting to leave the River Stour and was attacked by a Danish force at the mouth of the river. The Danish fleet defeated Alfred's fleet.",multi_hop_specific_query_synthesizer
How did King Alfred ensure that his judges were literate and what was the consequence for non-compliance?,"['<1-hop>\n\nWhen one turns from the domboc\'s introduction to the laws themselves, it is difficult to uncover any logical arrangement. The impression is of a hodgepodge of miscellaneous laws. The law code, as it has been preserved, is singularly unsuitable for use in lawsuits. In fact, several of Alfred\'s laws contradicted the laws of Ine that form an integral part of the code. Patrick Wormald\'s explanation is that Alfred\'s law code should be understood not as a legal manual but as an ideological manifesto of kingship ""designed more for symbolic impact than for practical direction"". In practical terms the most important law in the code may well have been the first: ""We enjoin, what is most necessary, that each man keep carefully his oath and his pledge"" which expresses a fundamental tenet of Anglo-Saxon law.\nAlfred devoted considerable attention and thought to judicial matters. Asser underscores his concern for judicial fairness. Alfred, according to Asser, insisted upon reviewing contested judgments made by his ealdormen and reeves and ""would carefully look into nearly all the judgements which were passed  in his absence anywhere in the realm to see whether they were just or unjust"". A charter from the reign of his son Edward the Elder depicts Alfred as hearing one such appeal in his chamber while washing his hands.\nAsser represents Alfred as a Solomonic judge, painstaking in his own judicial investigations and critical of royal officials who rendered unjust or unwise judgments. Although Asser never mentions Alfred\'s law code he does say that Alfred insisted that his judges be literate so that they could apply themselves ""to the pursuit of wisdom"". The failure to comply with this royal order was to be punished by loss of office.', ""<2-hop>\n\nDeath and burial\nAlfred died on 26 October 899 at the age of 50 or 51. How he died is unknown, but he suffered throughout his life with a painful and unpleasant illness. His biographer Asser gave a detailed description of Alfred's symptoms, and this has allowed modern doctors to provide a possible diagnosis. It is thought that he had either Crohn's disease or haemorrhoids. His grandson King Eadred seems to have had a similar illness.\nAlfred was temporarily buried at the Old Minster in Winchester with his wife Ealhswith and later, his son Edward the Elder. Before his death he had ordered the construction of the New Minster hoping that it would become a mausoleum for him and his family. Four years after his death, the bodies of Alfred and his family were exhumed and moved to their new resting place in the New Minster and remained there for 211 years. When William the Conqueror rose to the English throne after the Norman conquest in 1066, many Anglo-Saxon abbeys were demolished and replaced with Norman cathedrals. One of those unfortunate abbeys was the very New Minster abbey where Alfred was laid to rest. Before demolition, the monks at the New Minster exhumed the bodies of Alfred and his family to safely transfer them to a new location. In 1110, the New Minster monks moved to Hyde Abbey, a little north of the city, taking with them Alfred's body and those of his wife and children, which were interred before the high altar.""]",King Alfred ensured that his judges were literate so they could apply themselves 'to the pursuit of wisdom'. The failure to comply with this royal order was to be punished by loss of office.,multi_hop_specific_query_synthesizer
What happened after the Danish forces led by Hastein were defeated at Thorney Island and how did it affect their plans for conquest?,"[""<1-hop>\n\nViking attacks (890s)\nAfter another lull, in the autumn of 892 or 893, the Danes attacked again. Finding their position in mainland Europe precarious, they crossed to England in 330 ships in two divisions. They entrenched themselves, the larger body at Appledore, Kent, and the lesser under Hastein, at Milton, also in Kent. The invaders brought their wives and children with them, indicating a meaningful attempt at conquest and colonisation. Alfred, in 893 or 894, took up a position from which he could observe both forces.\nWhile he was in talks with Hastein, the Danes at Appledore broke out and struck north-westwards. They were overtaken by Alfred's eldest son Edward, and were defeated at the Battle of Farnham in Surrey. They took refuge on an island at Thorney, on the River Colne between Buckinghamshire and Middlesex, where they were blockaded and forced to give hostages and promise to leave Wessex. They then went to Essex and after suffering another defeat at Benfleet, joined with Hastein's force at Shoebury.\nAlfred had been on his way to relieve his son at Thorney when he heard that the Northumbrian and East Anglian Danes were besieging Exeter and an unnamed stronghold on the North Devon shore. Alfred at once hurried westward and raised the Siege of Exeter. The fate of the other place is not recorded."", ""<2-hop>\n\nTroubles in England and on the Continent\nDanish raids and rebellion\nAlthough Sweyn had promised to leave England, he returned in early 1070, raiding along the Humber and East Anglia toward the Isle of Ely, where he joined up with Hereward the Wake, a local thegn. Hereward's forces captured and looted Peterborough Abbey. William was able to secure the departure of Sweyn and his fleet in 1070, allowing him to return to the continent to deal with troubles in Maine, where the town of Le Mans had revolted in 1069. Another concern was the death of Count Baldwin VI of Flanders in July 1070, which led to a succession crisis as his widow, Richilde, was ruling for their two young sons, Arnulf and Baldwin. Her rule was contested by Robert, Baldwin's brother. Richilde proposed marriage to William fitzOsbern, who was in Normandy, and fitzOsbern accepted. But after he was killed in February 1071 at the Battle of Cassel, Robert became count. He was opposed to King William's power on the continent, thus the Battle of Cassel upset the balance of power in northern France and cost William an important supporter.""]","After the Danish forces led by Hastein were defeated at Thorney Island, they took refuge on an island at Thorney, on the River Colne between Buckinghamshire and Middlesex. They were blockaded there and forced to give hostages and promise to leave Wessex. This indicates that their plans for conquest were hindered as they had to agree to leave Wessex under these conditions.",multi_hop_specific_query_synthesizer
What steps did King Alfred take to establish a court school and what was its purpose in educating individuals from different social backgrounds?,"['<1-hop>\n\nEstablishment of a court school\nAlfred established a court school for the education of his own children, those of the nobility, and ""a good many of lesser birth"". There they studied books in both English and Latin and ""devoted themselves to writing, to such an extent… they were seen to be devoted and intelligent students of the liberal arts"". He recruited scholars from the Continent and from Britain to aid in the revival of Christian learning in Wessex and to provide the king personal instruction. Grimbald and John the Saxon came from Francia; Plegmund (whom Alfred appointed archbishop of Canterbury in 890), Bishop Wærferth of Worcester, Æthelstan, and the royal chaplains Werwulf, from Mercia; and Asser, from Saint David\'s in southwestern Wales.', '<2-hop>\n\nThis revival entailed the recruitment of clerical scholars from Mercia, Wales and abroad to enhance the tenor of the court and of the episcopacy; the establishment of a court school to educate his own children, the sons of his nobles, and intellectually promising boys of lesser birth; an attempt to require literacy in those who held offices of authority; a series of translations into the vernacular of Latin works the king deemed ""most necessary for all men to know""; the compilation of a chronicle detailing the rise of Alfred\'s kingdom and house, with a genealogy that stretched back to Adam, thus giving the West Saxon kings a biblical ancestry.\nVery little is known of the church under Alfred. The Danish attacks had been particularly damaging to the monasteries. Although Alfred founded monasteries at Athelney and Shaftesbury, these were the first new monastic houses in Wessex since the beginning of the eighth century. According to Asser, Alfred enticed foreign monks to England for his monastery at Athelney because there was little interest for the locals to take up the monastic life.\nAlfred undertook no systematic reform of ecclesiastical institutions or religious practices in Wessex. For him, the key to the kingdom\'s spiritual revival was to appoint pious, learned, and trustworthy bishops and abbots. As king, he saw himself as responsible for both the temporal and spiritual welfare of his subjects. Secular and spiritual authority were not distinct categories for Alfred.']","King Alfred established a court school to educate his own children, the sons of his nobles, and intellectually promising boys of lesser birth. The purpose of this educational institution was to provide them with knowledge in both English and Latin and to make them devoted students of the liberal arts. This initiative aimed at enhancing the tenor of the court and episcopacy by recruiting scholars from various regions, including Mercia, Wales, and abroad.",multi_hop_specific_query_synthesizer
